TopN,Modelo,ROC,Sens,Spec,Precision,F1,GMean,nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,PRAUC,Accuracy,ROCSD,F1SD,GMeanSD,Variaveis,Usa_SMOTENC,Fase_Protocolo,CV_Folds,CV_Repeats
1,XGBoost,0.7131835586943251,0.33125455744991145,0.9601956588199327,0.7030186972598046,0.4500840897812266,0.5638364956868771,100,3,0.1,0,0.8,1,0.8,0.49471865121456743,0.8210561430951814,0.014383103890757332,0.013341052388630212,0.01236229018079238,PAY_0,FALSE,exploratorio,5,1
2,XGBoost,0.7229440609185865,0.33125409447087284,0.9600733720574748,0.70234003325085,0.4499925154865224,0.5638309082462107,150,3,0.05,0,0.8,1,0.8,0.4976315024295138,0.8209609163351129,0.0142003047464662,0.011717807374554634,0.01088641763592151,"PAY_0, BILL_AMT1",FALSE,exploratorio,5,1
3,XGBoost,0.7532836674374291,0.3252265703670266,0.9612350963008254,0.7048253237596283,0.44478546833410154,0.5589515394949576,150,3,0.05,0,0.8,1,0.8,0.5272318066754372,0.8205323222362023,0.015354869182457034,0.01505952675455324,0.013761066622026549,"PAY_0, BILL_AMT1, PAY_AMT2",FALSE,exploratorio,5,1
4,XGBoost,0.7557092446627556,0.32522633887750735,0.9608682360134515,0.7027339973539843,0.4444146316564569,0.5588631782202524,100,5,0.05,0,0.8,1,0.8,0.5292349655046524,0.8202466306208273,0.0121999438354207,0.014449114678375197,0.013106701512292129,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1",FALSE,exploratorio,5,1
5,XGBoost,0.7581524349072225,0.3278086044654328,0.9611128095383674,0.7055602489185971,0.44743035756495225,0.5611514170264167,100,5,0.05,0,0.8,1,0.8,0.5277840608541446,0.8210084673717142,0.012935648690945455,0.01569092006054044,0.013551622667444623,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION",FALSE,exploratorio,5,1
6,XGBoost,0.7611822476894191,0.3409400789379261,0.9575053500458576,0.6953448145418042,0.4573354784028649,0.5712435547152628,100,5,0.05,0,0.8,1,0.8,0.534511661281698,0.8211037168021219,0.013719229222432069,0.012780526831315638,0.011477868112109893,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2",FALSE,exploratorio,5,1
7,XGBoost,0.7639784269672877,0.342229475560494,0.9569550596147967,0.6932636779611586,0.4580774916061309,0.5721523014037384,100,5,0.05,0,0.8,1,0.8,0.5390306998559974,0.820960791648247,0.013065289474939795,0.014831751492827287,0.012478447489934933,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3",FALSE,exploratorio,5,1
8,XGBoost,0.7751317015601025,0.3514867414377814,0.9532253133598289,0.6809488436763595,0.4634027009042199,0.5786218510118216,150,5,0.05,0,0.8,1,0.8,0.5469039608199231,0.8201038641593271,0.013853514662595864,0.019195411396116614,0.01641840258879985,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL",FALSE,exploratorio,5,1
9,XGBoost,0.7779985625286401,0.35859022882738983,0.95255273616631,0.6820614302775886,0.4698945442961124,0.5842684633907209,200,3,0.05,0,0.8,1,0.8,0.5462722535656626,0.8211516192289817,0.0145629306429989,0.01959672445677269,0.01592689170078351,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3",FALSE,exploratorio,5,1
10,XGBoost,0.7803598486177438,0.3609579036309131,0.9515744420666463,0.6792353115694575,0.4713156239498566,0.5859692465420171,100,5,0.05,0,0.8,1,0.8,0.551935117909278,0.820913478650208,0.013842327481543138,0.01647025936092703,0.012664103058206984,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4",FALSE,exploratorio,5,1
11,XGBoost,0.7804844900128957,0.3570825375881107,0.9518190155915622,0.6780729791964412,0.4677288161921356,0.5829174226589561,200,3,0.05,0,0.8,1,0.8,0.5493373169442739,0.8202468119835413,0.014202354791080014,0.013726766244296243,0.01059435990961323,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE",FALSE,exploratorio,5,1
12,XGBoost,0.7815957048142322,0.36590830700140053,0.9519413023540202,0.6837467041468043,0.4766420764512231,0.590102848190201,200,3,0.05,0,0.8,1,0.8,0.548678000981977,0.822294317679464,0.014436256419500646,0.01492756215399696,0.011653203614641694,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX",FALSE,exploratorio,5,1
13,XGBoost,0.7828563806361714,0.367416229730199,0.9521858758789361,0.6857630440162887,0.4784029834573712,0.5913798393011591,100,5,0.05,0,0.8,1,0.8,0.5546154489581188,0.8228181838791218,0.01353178945410447,0.01669245315445788,0.012778579836419933,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE",FALSE,exploratorio,5,1
14,XGBoost,0.7841137328744066,0.37128928087780827,0.9499847141546928,0.6781526283700441,0.4797419537765015,0.5937676593633187,200,3,0.05,0,0.8,1,0.8,0.5530071404379644,0.8219609616757915,0.014424386021238463,0.01686857499502235,0.013881532908745555,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5",FALSE,exploratorio,5,1
15,XGBoost,0.7839324036166476,0.37236570714260914,0.9499847141546928,0.6788895681781916,0.48084514316884125,0.5946645408390401,100,3,0.1,0,0.8,1,0.8,0.5556689544166662,0.8221990342435475,0.014581329083212446,0.014296310234052206,0.011772929510497096,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5",FALSE,exploratorio,5,1
16,XGBoost,0.7854477005003461,0.3719355996157274,0.9497401406297769,0.6774549574313801,0.48010564210464696,0.5941916315832347,200,3,0.05,0,0.8,1,0.8,0.5546158493540201,0.8219133539633421,0.013693849711732575,0.01899213243310205,0.015150477117874152,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3",FALSE,exploratorio,5,1
17,XGBoost,0.7858830904963336,0.37516395245205275,0.9499235707734638,0.6802729600284562,0.48344614512383854,0.5968132117729341,150,5,0.05,0,0.8,1,0.8,0.5594271307985117,0.8227704288094672,0.012625783519984682,0.018188046887587832,0.015019837157658839,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5",FALSE,exploratorio,5,1
18,XGBoost,0.7851708737126761,0.3706448140560436,0.9506572913482115,0.6807663282549639,0.4797444118263405,0.5933762290333505,200,3,0.05,0,0.8,1,0.8,0.5570650835963769,0.8223418573808957,0.013689200780709778,0.021269213362857246,0.017575578167048325,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6",FALSE,exploratorio,5,1
19,XGBoost,0.7857011843901882,0.3743025799506927,0.949006420055029,0.6756633433591309,0.48161501407180346,0.5958563592604945,150,3,0.1,0,0.8,1,0.8,0.5576316803050257,0.8218656782398749,0.013380264817100179,0.01758293720011925,0.014432331510733653,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4",FALSE,exploratorio,5,1
20,XGBoost,0.7857685484418553,0.3715064180469229,0.9513298685417303,0.6846092270308114,0.48138396562593955,0.5943085461266372,100,5,0.05,0,0.8,1,0.8,0.5579668200874278,0.8230561884358599,0.013332534960350145,0.019052273060096422,0.015853698571114766,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2",FALSE,exploratorio,5,1
21,XGBoost,0.785478887219902,0.37473453939372897,0.9504738612045246,0.6823270074452151,0.4835975122308066,0.5966316774473579,150,5,0.05,0,0.8,1,0.8,0.5584764639296238,0.823103807483479,0.013576782764453359,0.017996518567356137,0.015294274968824437,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2, BILL_AMT4",FALSE,exploratorio,5,1
22,XGBoost,0.7856910917726895,0.3699989582971631,0.9512075817792723,0.6828429092520751,0.47978250253787935,0.5930906946502146,100,5,0.05,0,0.8,1,0.8,0.5590749436387342,0.8226275943369492,0.012725521071172927,0.018204949693873568,0.015013263109645304,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2, BILL_AMT4, BILL_AMT6",FALSE,exploratorio,5,1
23,XGBoost,0.7854990593977867,0.3697832100651643,0.9505961479669826,0.680116425883893,0.4788146915067656,0.5926729886359081,200,3,0.05,0,0.8,1,0.8,0.5591571236426452,0.8221037621428005,0.0127173140375272,0.01877770574299049,0.016435818881232415,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2, BILL_AMT4, BILL_AMT6, PAY_6",FALSE,exploratorio,5,1
