Variavel,Posicao_SHAP,Importancia_SHAP,Posicao_ElasticNet,Importancia_ElasticNet,Delta_Posicao
PAY_4,7,0.01900685718574818,19,0.02290806486353493,12
EDUCATION,15,0.006513534540382917,5,0.13642094845277347,-10
PAY_AMT1,11,0.011252536722977895,4,0.15156241241283186,-7
PAY_AMT4,17,0.0034205820139135905,10,0.08073136272366815,-7
BILL_AMT3,2,0.03977497901103005,7,0.10127421406601936,5
PAY_AMT2,8,0.015425293566509412,3,0.2045545822900814,-5
PAY_5,9,0.013549231276070864,14,0.057685471318343305,5
BILL_AMT5,10,0.011976708932624586,15,0.048911386516063055,5
LIMIT_BAL,4,0.03143180293913998,8,0.10024101520267553,4
PAY_3,5,0.020814346672629935,9,0.08975440923698731,4
PAY_AMT5,14,0.006700921906151358,17,0.03778111601445709,3
AGE,16,0.00537318156628671,13,0.059383032115582754,-3
MARRIAGE,13,0.007176758263347991,11,0.07530652753761731,-2
PAY_AMT3,18,0.002800278885485097,16,0.04509915145967992,-2
BILL_AMT1,3,0.0373450201723641,2,0.24337578168720522,-1
PAY_AMT6,19,0.002786204084235399,18,0.03491704418145984,-1
PAY_0,1,0.08918485785856463,1,0.6503484330461735,0
PAY_2,6,0.020280425184121667,6,0.10523020768007788,0
SEX,12,0.010212821826203514,12,0.07376571408295401,0
BILL_AMT2,NA,NA,20,0.0046572212405466265,NA
BILL_AMT4,NA,NA,21,0,NA
BILL_AMT6,NA,NA,22,0,NA
PAY_6,NA,NA,23,0,NA
